,name,latitude,longitude,distance,company,category
0,Starbucks,37.76094136479826,-122.43460829381506,973.0,Netbiscuits,starbucks
1,Starbucks,37.751373245212285,-122.43182451668453,625.0,Netbiscuits,starbucks
0,Starbucks,37.78414314368152,-122.40759611781183,850.0,Ecolect,starbucks
2,Starbucks,37.77708998,-122.4172976,633.0,Ecolect,starbucks
6,Starbucks,37.77019,-122.403465,937.0,Ecolect,starbucks
27,Starbucks,37.78423136890994,-122.40398536118221,990.0,Ecolect,starbucks
49,Starbucks,37.77722,-122.419419,820.0,Ecolect,starbucks
1,Starbucks,37.77708998,-122.4172976,389.0,Popego,starbucks
50,Starbucks,37.77722,-122.419419,228.0,Popego,starbucks
0,Starbucks,37.76728657794835,-122.39392612290195,289.0,Popego,starbucks
1,Starbucks,37.77119622322716,-122.38936363995433,851.0,Popego,starbucks
2,Starbucks,37.7658775,-122.4034495,795.0,Popego,starbucks
8,Starbucks,37.77019,-122.403465,994.0,Popego,starbucks
0,Neighborhood Playgarden,37.75682850386304,-122.44066646177909,1267.0,Netbiscuits,nursery
1,Rocky Mountain School,37.766021728515625,-122.43814086914062,1598.0,Netbiscuits,nursery
2,Judith Baker CD,37.776839238148945,-122.41180216634316,2747.0,Netbiscuits,nursery
3,Morning Glory Nursery School,37.776355,-122.443699,2817.0,Netbiscuits,nursery
4,C5 Children's School,37.778864078509734,-122.41458373129642,2850.0,Netbiscuits,nursery
5,Kids by the Bay - Civic Center,37.77943000926396,-122.41181911544112,3004.0,Netbiscuits,nursery
6,Friends Of Potrero Hill Nursery School,37.758352703795794,-122.38965026443782,3259.0,Netbiscuits,nursery
7,Les Petits Canards French Immersion Preschool,37.77541732788086,-122.45390319824219,3314.0,Netbiscuits,nursery
8,Japanese YWCA Building / Nihonmachi Little Friends,37.78701663383911,-122.43060891034598,3578.0,Netbiscuits,nursery
9,JamaJaz Family Day Care,37.73741160833692,-122.46232509613036,3718.0,Netbiscuits,nursery
10,Laurel Hill Nursery School,37.783884253346095,-122.45270669460297,3956.0,Netbiscuits,nursery
11,Kids by the Bay - Financial District,37.785471,-122.39803700000002,4210.0,Netbiscuits,nursery
12,"Little Star Preschool ""Too""",37.74841,-122.477499,4554.0,Netbiscuits,nursery
13,Rosenberg Early Childhood Center (JCCSF),37.78459227090708,-122.45950341224669,4391.0,Netbiscuits,nursery
14,John McLaren Child Development Center,37.713448,-122.423304,4637.0,Netbiscuits,nursery
15,Tiny Giants Too!,37.797872,-122.43502099999999,4827.0,Netbiscuits,nursery
16,Argonne Early Education School,37.773958,-122.474174,4698.0,Netbiscuits,nursery
0,C5 Children's School,37.778864078509734,-122.41458373129642,586.0,Popego,nursery
1,Judith Baker CD,37.776839238148945,-122.41180216634316,855.0,Popego,nursery
2,Kids by the Bay - Civic Center,37.77943000926396,-122.41181911544112,833.0,Popego,nursery
3,Japanese YWCA Building / Nihonmachi Little Friends,37.78701663383911,-122.43060891034598,1240.0,Popego,nursery
4,Morning Glory Nursery School,37.776355,-122.443699,1992.0,Popego,nursery
5,Rocky Mountain School,37.766021728515625,-122.43814086914062,2049.0,Popego,nursery
6,Kids by the Bay - Financial District,37.785471,-122.39803700000002,2176.0,Popego,nursery
7,Tiny Giants Too!,37.797872,-122.43502099999999,2455.0,Popego,nursery
8,Les Petits Canards French Immersion Preschool,37.77541732788086,-122.45390319824219,2896.0,Popego,nursery
9,Laurel Hill Nursery School,37.783884253346095,-122.45270669460297,2828.0,Popego,nursery
10,Neighborhood Playgarden,37.75682850386304,-122.44066646177909,2973.0,Popego,nursery
11,Rosenberg Early Childhood Center (JCCSF),37.78459227090708,-122.45950341224669,3429.0,Popego,nursery
12,Friends Of Potrero Hill Nursery School,37.758352703795794,-122.38965026443782,3584.0,Popego,nursery
0,Friends Of Potrero Hill Nursery School,37.758352703795794,-122.38965026443782,828.0,Digg,nursery
1,Judith Baker CD,37.776839238148945,-122.41180216634316,2032.0,Digg,nursery
2,C5 Children's School,37.778864078509734,-122.41458373129642,2364.0,Digg,nursery
3,Kids by the Bay - Civic Center,37.77943000926396,-122.41181911544112,2235.0,Digg,nursery
4,Kids by the Bay - Financial District,37.785471,-122.39803700000002,2329.0,Digg,nursery
0,Judith Baker CD,37.776839238148945,-122.41180216634316,149.0,Ecolect,nursery
1,Kids by the Bay - Civic Center,37.77943000926396,-122.41181911544112,332.0,Ecolect,nursery
2,C5 Children's School,37.778864078509734,-122.41458373129642,457.0,Ecolect,nursery
3,Kids by the Bay - Financial District,37.785471,-122.39803700000002,1437.0,Ecolect,nursery
4,Japanese YWCA Building / Nihonmachi Little Friends,37.78701663383911,-122.43060891034598,2133.0,Ecolect,nursery
5,Friends Of Potrero Hill Nursery School,37.758352703795794,-122.38965026443782,2728.0,Ecolect,nursery
6,Rocky Mountain School,37.766021728515625,-122.43814086914062,2741.0,Ecolect,nursery
7,Morning Glory Nursery School,37.776355,-122.443699,2955.0,Ecolect,nursery
8,Tiny Giants Too!,37.797872,-122.43502099999999,3212.0,Ecolect,nursery
9,Neighborhood Playgarden,37.75682850386304,-122.44066646177909,3486.0,Ecolect,nursery
10,Laurel Hill Nursery School,37.783884253346095,-122.45270669460297,3830.0,Ecolect,nursery
